類型,公司代號 ,公司名稱 ,上市日,市場別,產業別,CFICode
股票 ,2029,盛餘,1997/1/11,上市,鋼鐵工業,ESVUFR
股票 ,2030,彰源,1998/12/24,上市,鋼鐵工業,ESVUFR
股票 ,2031,新光鋼,2000/9/11,上市,鋼鐵工業,ESVUFR
股票 ,2032,新鋼,2000/9/11,上市,鋼鐵工業,ESVUFR
股票 ,2033,佳大,2000/9/11,上市,鋼鐵工業,ESVUFR
股票 ,2034,允強,2001/9/17,上市,鋼鐵工業,ESVUFR
股票 ,2038,海光,2008/12/30,上市,鋼鐵工業,ESVUFR
股票 ,2049,上銀,2009/6/26,上市,電機機械,ESVUFR
股票 ,2059,川湖,2008/6/25,上市,電子零組件業,ESVUFR
股票 ,2062,橋椿,2007/11/16,上市,居家生活,ESVUFR
股票 ,2069,運錩,2016/3/22,上市,鋼鐵工業,ESVUFR
股票 ,2101,南港,1963/11/1,上市,橡膠工業,ESVUFR
股票 ,2102,泰豐,1979/7/16,上市,橡膠工業,ESVUFR
股票 ,2103,台橡,1982/9/25,上市,橡膠工業,ESVUFR
股票 ,2104,國際中橡,1986/7/15,上市,橡膠工業,ESVUFR
股票 ,2105,正新,1987/12/7,上市,橡膠工業,ESVUFR
股票 ,2106,建大,1990/12/20,上市,橡膠工業,ESVUFR
股票 ,2107,厚生,1992/3/3,上市,橡膠工業,ESVUFR
股票 ,2108,南帝,1992/10/27,上市,橡膠工業,ESVUFR
股票 ,2109,華豐,2000/5/8,上市,橡膠工業,ESVUFR
股票 ,2114,鑫永銓,2010/12/29,上市,橡膠工業,ESVUFR
股票 ,2115,六暉-KY,2013/12/25,上市,汽車工業,ESVUFR
股票 ,2201,裕隆,1976/7/8,上市,汽車工業,ESVUFR
股票 ,2204,中華,1991/3/12,上市,汽車工業,ESVUFR
股票 ,2206,三陽工業,1996/7/29,上市,汽車工業,ESVUFR
股票 ,2207,和泰車,1997/2/25,上市,汽車工業,ESVUFR
股票 ,2208,台船,2008/12/22,上市,航運業,ESVUFR
股票 ,2211,長榮鋼,2021/4/12,上市,鋼鐵工業,ESVUFR
股票 ,2227,裕日車,2004/12/21,上市,汽車工業,ESVUFR
股票 ,2228,劍麟,2013/11/25,上市,汽車工業,ESVUFR
股票 ,2231,為升,2010/11/19,上市,汽車工業,ESVUFR
股票 ,2233,宇隆,2019/9/17,上市,汽車工業,ESVUFR
股票 ,2236,百達-KY,2015/6/3,上市,汽車工業,ESVUFR
股票 ,2239,英利-KY,2016/1/27,上市,汽車工業,ESVUFR
股票 ,2241,艾姆勒,2020/8/26,上市,汽車工業,ESVUFR
股票 ,2243,宏旭-KY,2017/9/27,上市,汽車工業,ESVUFR
股票 ,2247,汎德永業,2020/10/12,上市,汽車工業,ESVUFR
股票 ,2248,華勝-KY,2025/3/13,上市,汽車工業,ESVUFR
股票 ,2250,IKKA-KY,2021/5/31,上市,汽車工業,ESVUFR
股票 ,2301,光寶科,1995/11/17,上市,電腦及週邊設備業,ESVUFR
股票 ,2302,麗正,1985/1/15,上市,半導體業,ESVUFR
股票 ,2303,聯電,1985/7/16,上市,半導體業,ESVUFR
股票 ,2305,全友,1988/10/21,上市,電腦及週邊設備業,ESVUFR
股票 ,2308,台達電,1988/12/19,上市,電子零組件業,ESVUFR
股票 ,2312,金寶,1989/11/7,上市,其他電子業,ESVUFR
